exposure_id,obligor_id,instrument_type,exposure_class,issuer_type,instrument_subtype,seniority,secured_flag,sector,rating,currency,balance,undrawn,maturity_years,coupon_rate,rate_type,guaranteed,collateral_type
EXP-0077,OBL-0036,loan,fi,bank,revolving,senior_unsecured,False,diversified_financials,BBB,USD,5762568.93,4055764.15,4.43,0.0526,floating,False,
EXP-0078,OBL-0037,bond,fi,bank,bank_senior_bond,subordinated,False,banking,BBB,USD,25180690.35,0.0,4.3,0.0617,floating,False,
EXP-0079,OBL-0038,bond,fi,bank,bank_senior_bond,senior_unsecured,False,banking,BBB,EUR,19493038.83,0.0,4.65,0.0371,fixed,False,
EXP-0080,OBL-0039,bond,corporate,corporate,corporate_bond,senior_unsecured,False,real_estate,B,USD,24583261.99,0.0,4.06,0.0854,fixed,False,
EXP-0081,OBL-0039,bond,corporate,corporate,corporate_bond,senior_unsecured,False,real_estate,B,USD,21583118.62,0.0,9.39,0.0862,floating,False,
EXP-0082,OBL-0040,loan,fi,insurance,term_loan,senior_secured,True,asset_management,AA,USD,6464854.44,865144.88,6.11,0.0411,floating,False,
EXP-0083,OBL-0041,off_balance,fi,bank,guarantee,senior_unsecured,False,banking,BBB,USD,7354601.95,1898492.79,3.88,0.037,floating,False,
EXP-0084,OBL-0041,bond,fi,bank,bank_senior_bond,senior_unsecured,False,banking,BBB,USD,8000000.0,0.0,7.68,0.0495,fixed,False,
EXP-0085,OBL-0041,off_balance,fi,bank,letter_of_credit,senior_unsecured,False,banking,BBB,USD,814682.09,160785.36,2.69,0.0378,floating,True,
EXP-0086,OBL-0041,bond,fi,bank,bank_senior_bond,senior_unsecured,False,banking,BBB,USD,14173307.18,0.0,6.33,0.0517,fixed,False,
EXP-0087,OBL-0042,bond,corporate,corporate,corporate_bond,senior_unsecured,False,healthcare,BB,EUR,5000000.0,0.0,2.77,0.0542,fixed,False,
EXP-0088,OBL-0042,off_balance,corporate,corporate,letter_of_credit,senior_unsecured,False,healthcare,BB,EUR,3220045.86,1814238.23,2.98,0.0398,floating,False,
EXP-0089,OBL-0042,bond,corporate,corporate,corporate_bond,subordinated,False,healthcare,BB,EUR,12396868.57,0.0,8.7,0.062,fixed,False,
EXP-0090,OBL-0043,bond,sovereign,agency,agency_bond,senior_unsecured,False,agency,AAA,EUR,34944810.49,0.0,5.97,0.021,fixed,False,
EXP-0091,OBL-0043,bond,sovereign,agency,agency_bond,senior_unsecured,False,agency,AAA,EUR,47879386.99,0.0,11.64,0.0241,fixed,False,
EXP-0092,OBL-0043,bond,sovereign,agency,agency_bond,senior_unsecured,False,agency,AAA,EUR,48416855.07,0.0,11.43,0.0237,floating,False,
EXP-0093,OBL-0044,off_balance,corporate,corporate,letter_of_credit,senior_unsecured,False,healthcare,BB,EUR,5706846.16,3467443.66,1.48,0.038,floating,False,
EXP-0094,OBL-0045,bond,fi,insurance,bank_senior_bond,subordinated,False,insurance,A,EUR,19331998.82,0.0,3.1,0.0419,fixed,False,
EXP-0095,OBL-0045,bond,fi,insurance,bank_senior_bond,subordinated,False,insurance,A,EUR,38543871.72,0.0,2.34,0.0396,floating,False,
EXP-0096,OBL-0046,loan,corporate,corporate,term_loan,senior_unsecured,False,real_estate,BBB,EUR,28040257.19,3159523.47,2.21,0.0389,floating,False,
EXP-0097,OBL-0046,off_balance,corporate,corporate,letter_of_credit,senior_unsecured,False,real_estate,BBB,EUR,22000000.0,8198306.36,1.3,0.0285,floating,False,
EXP-0098,OBL-0047,loan,corporate,corporate,term_loan,senior_unsecured,False,real_estate,BB,EUR,13554603.14,2285313.47,2.13,0.0556,floating,True,
EXP-0099,OBL-0047,bond,corporate,corporate,corporate_bond,subordinated,False,real_estate,BB,EUR,28350638.94,0.0,5.37,0.0582,fixed,False,
EXP-0100,OBL-0048,bond,sovereign,supranational,supranational_bond,senior_unsecured,False,multilateral,BBB,EUR,135000000.0,0.0,10.97,0.0314,floating,False,
EXP-0101,OBL-0049,loan,fi,bank,revolving,senior_unsecured,False,banking,BBB,USD,7224237.66,4988450.35,3.61,0.0544,floating,False,
EXP-0102,OBL-0050,off_balance,corporate,corporate,letter_of_credit,senior_unsecured,False,healthcare,BBB,EUR,1728101.11,474913.05,2.74,0.0324,floating,False,
EXP-0103,OBL-0051,off_balance,corporate,corporate,guarantee,senior_unsecured,False,real_estate,BB,EUR,3950783.07,1631405.53,2.17,0.0402,floating,False,
EXP-0104,OBL-0051,loan,corporate,corporate,term_loan,senior_secured,True,real_estate,BB,EUR,3582523.93,45095.71,3.89,0.0547,floating,False,
EXP-0105,OBL-0052,bond,sovereign,sovereign,sovereign_bond,senior_unsecured,False,public_sector,BBB,EUR,58862401.01,0.0,8.61,0.0327,fixed,False,
EXP-0106,OBL-0053,loan,corporate,corporate,revolving,senior_secured,True,real_estate,AA,EUR,7682785.75,5957979.51,4.7,0.0292,floating,False,
EXP-0107,OBL-0054,off_balance,fi,insurance,guarantee,senior_unsecured,False,insurance,B,USD,4846077.65,610456.91,1.93,0.0615,floating,False,
EXP-0108,OBL-0055,off_balance,corporate,corporate,guarantee,senior_unsecured,False,industrials,BB,USD,4453149.68,2462806.51,1.44,0.0483,floating,False,
EXP-0109,OBL-0055,loan,corporate,corporate,term_loan,senior_secured,True,industrials,BB,USD,6442725.95,226354.84,1.35,0.0629,floating,False,real_estate
EXP-0110,OBL-0055,bond,corporate,corporate,corporate_bond,senior_unsecured,False,industrials,BB,USD,9339106.41,0.0,9.31,0.0642,fixed,False,
EXP-0111,OBL-0055,off_balance,corporate,corporate,guarantee,senior_unsecured,False,industrials,BB,USD,2072038.59,614199.78,1.82,0.047,floating,False,
EXP-0112,OBL-0055,loan,corporate,corporate,term_loan,senior_unsecured,False,industrials,BB,USD,6315700.8,236457.65,4.11,0.0643,floating,False,cash
EXP-0113,OBL-0055,loan,corporate,corporate,term_loan,senior_secured,True,industrials,BB,USD,4583839.45,395562.76,6.17,0.0661,floating,False,
EXP-0114,OBL-0055,loan,corporate,corporate,term_loan,senior_unsecured,False,industrials,BB,USD,10338299.26,1358108.72,5.53,0.0646,floating,True,
EXP-0115,OBL-0055,loan,corporate,corporate,term_loan,senior_secured,True,industrials,BB,USD,5946800.27,971522.1,5.82,0.0653,floating,False,real_estate
EXP-0116,OBL-0055,loan,corporate,corporate,revolving,senior_secured,True,industrials,BB,USD,14115908.17,7511524.23,1.65,0.0625,floating,False,
EXP-0117,OBL-0055,loan,corporate,corporate,term_loan,senior_unsecured,False,industrials,BB,USD,3376358.61,376143.06,5.56,0.0692,floating,True,
EXP-0118,OBL-0056,bond,sovereign,sovereign,sovereign_bond,senior_unsecured,False,public_sector,BBB,USD,29535878.95,0.0,12.85,0.0395,fixed,False,
EXP-0119,OBL-0057,loan,fi,bank,term_loan,senior_secured,True,diversified_financials,AAA,EUR,19274485.39,2021430.6,3.37,0.0303,floating,False,
EXP-0120,OBL-0057,bond,fi,bank,bank_senior_bond,senior_unsecured,False,diversified_financials,AAA,EUR,61396380.32,0.0,8.72,0.0277,fixed,False,
EXP-0121,OBL-0057,off_balance,fi,bank,guarantee,senior_unsecured,False,diversified_financials,AAA,EUR,24901778.14,4669659.37,1.84,0.0218,floating,False,
EXP-0122,OBL-0058,bond,fi,bank,covered_bond,covered,True,diversified_financials,AA,USD,21871355.07,0.0,7.15,0.0313,fixed,False,
EXP-0123,OBL-0058,bond,fi,bank,bank_senior_bond,senior_unsecured,False,diversified_financials,AA,USD,21165074.58,0.0,8.06,0.0412,fixed,False,
EXP-0124,OBL-0059,off_balance,corporate,corporate,guarantee,senior_unsecured,False,technology,CCC,USD,6916637.69,3882363.28,1.36,0.0831,floating,False,
EXP-0125,OBL-0060,off_balance,fi,bank,letter_of_credit,senior_unsecured,False,banking,B,USD,2876698.5,979382.15,2.53,0.0612,floating,False,
EXP-0126,OBL-0060,loan,fi,bank,revolving,senior_unsecured,False,banking,B,USD,10264422.96,8290741.97,4.96,0.0839,floating,True,
EXP-0127,OBL-0061,bond,corporate,corporate,corporate_bond,senior_unsecured,False,industrials,CCC,EUR,22209980.98,0.0,6.18,0.1023,floating,False,
EXP-0128,OBL-0062,bond,fi,bank,bank_senior_bond,senior_unsecured,False,banking,AA,USD,22745968.28,0.0,3.07,0.0424,fixed,False,
EXP-0129,OBL-0062,bond,fi,bank,bank_senior_bond,senior_unsecured,False,banking,AA,USD,24664756.14,0.0,4.15,0.0401,fixed,False,
EXP-0130,OBL-0062,off_balance,fi,bank,guarantee,senior_unsecured,False,banking,AA,USD,7792699.18,3107298.37,2.86,0.0304,floating,False,
EXP-0131,OBL-0062,bond,fi,bank,bank_senior_bond,senior_unsecured,False,banking,AA,USD,15070607.51,0.0,7.2,0.0409,fixed,False,
EXP-0132,OBL-0062,bond,fi,bank,covered_bond,covered,True,banking,AA,USD,39281310.88,0.0,7.64,0.0344,fixed,False,
EXP-0133,OBL-0063,bond,corporate,corporate,corporate_bond,senior_unsecured,False,technology,BB,USD,8291058.06,0.0,9.37,0.0679,fixed,False,
EXP-0134,OBL-0063,off_balance,corporate,corporate,letter_of_credit,senior_unsecured,False,technology,BB,USD,8245269.01,1829481.04,1.92,0.0473,floating,False,
EXP-0135,OBL-0064,loan,corporate,corporate,term_loan,senior_secured,True,energy,BBB,EUR,9178764.21,681124.4,5.56,0.0399,floating,False,
EXP-0136,OBL-0064,bond,corporate,corporate,corporate_bond,subordinated,False,energy,BBB,EUR,20821195.58,0.0,4.0,0.0464,fixed,False,
EXP-0137,OBL-0064,off_balance,corporate,corporate,letter_of_credit,senior_unsecured,False,energy,BBB,EUR,4203107.8,2346960.92,1.6,0.0285,floating,False,
EXP-0138,OBL-0064,off_balance,corporate,corporate,letter_of_credit,senior_unsecured,False,energy,BBB,EUR,2983880.24,1255630.08,1.33,0.0297,floating,False,
EXP-0139,OBL-0064,loan,corporate,corporate,revolving,senior_secured,True,energy,BBB,EUR,3670868.67,2062382.22,1.92,0.0409,floating,True,equipment
EXP-0140,OBL-0064,off_balance,corporate,corporate,guarantee,senior_unsecured,False,energy,BBB,EUR,8085601.47,3030925.47,3.66,0.0305,floating,False,
EXP-0141,OBL-0064,loan,corporate,corporate,term_loan,senior_unsecured,False,energy,BBB,EUR,6429630.62,1103110.56,3.96,0.0443,floating,False,
EXP-0142,OBL-0064,loan,corporate,corporate,term_loan,senior_secured,True,energy,BBB,EUR,8635998.09,28661.19,3.64,0.0403,floating,False,inventory
EXP-0143,OBL-0064,off_balance,corporate,corporate,letter_of_credit,senior_unsecured,False,energy,BBB,EUR,3410584.36,1519410.63,0.94,0.0289,floating,False,
EXP-0144,OBL-0064,loan,corporate,corporate,revolving,senior_secured,True,energy,BBB,EUR,10624490.27,5273404.25,3.09,0.0433,floating,True,
EXP-0145,OBL-0064,bond,corporate,corporate,corporate_bond,senior_unsecured,False,energy,BBB,EUR,10380982.8,0.0,2.6,0.0367,fixed,False,
EXP-0146,OBL-0064,loan,corporate,corporate,term_loan,senior_secured,True,energy,BBB,EUR,8210528.17,1083481.05,3.21,0.0383,floating,False,receivables
EXP-0147,OBL-0064,bond,corporate,corporate,corporate_bond,senior_unsecured,False,energy,BBB,EUR,11724447.43,0.0,3.93,0.0379,fixed,False,
EXP-0148,OBL-0064,loan,corporate,corporate,revolving,senior_unsecured,False,energy,BBB,EUR,7125280.85,5628567.31,1.96,0.0434,floating,False,
EXP-0149,OBL-0064,off_balance,corporate,corporate,letter_of_credit,senior_unsecured,False,energy,BBB,EUR,4160391.3,961031.67,0.62,0.0295,floating,False,
EXP-0150,OBL-0064,loan,corporate,corporate,term_loan,senior_secured,True,energy,BBB,EUR,9170431.75,52893.64,4.69,0.0365,floating,False,
EXP-0151,OBL-0064,loan,corporate,corporate,term_loan,senior_secured,True,energy,BBB,EUR,11099647.1,1618933.03,3.27,0.0394,floating,False,inventory
EXP-0152,OBL-0064,bond,corporate,corporate,corporate_bond,senior_unsecured,False,energy,BBB,EUR,21818101.27,0.0,9.54,0.0419,fixed,False,
EXP-0153,OBL-0065,bond,corporate,corporate,corporate_bond,senior_unsecured,False,consumer,BBB,USD,14362122.31,0.0,9.85,0.051,fixed,False,
EXP-0154,OBL-0065,bond,corporate,corporate,corporate_bond,senior_unsecured,False,consumer,BBB,USD,17102852.23,0.0,5.62,0.0553,floating,False,
EXP-0155,OBL-0066,loan,corporate,corporate,revolving,senior_unsecured,False,energy,A,USD,4456320.19,2221735.71,2.89,0.0494,floating,False,
EXP-0156,OBL-0066,off_balance,corporate,corporate,letter_of_credit,senior_unsecured,False,energy,A,USD,888947.0,312510.53,1.48,0.0337,floating,False,
EXP-0157,OBL-0066,loan,corporate,corporate,term_loan,senior_secured,True,energy,A,USD,8089777.63,507996.92,5.3,0.0476,floating,False,cash
EXP-0158,OBL-0067,loan,corporate,corporate,revolving,senior_secured,True,energy,BBB,EUR,6592291.94,4297092.71,4.73,0.0392,floating,False,
EXP-0159,OBL-0067,off_balance,corporate,corporate,letter_of_credit,senior_unsecured,False,energy,BBB,EUR,3176135.0,1316920.59,0.6,0.0271,floating,False,
EXP-0160,OBL-0067,loan,corporate,corporate,term_loan,senior_secured,True,energy,BBB,EUR,3624968.86,247048.03,3.31,0.0406,floating,False,equipment
EXP-0161,OBL-0068,loan,corporate,corporate,term_loan,senior_unsecured,False,technology,BB,USD,20770152.16,3471413.39,4.03,0.068,floating,False,
EXP-0162,OBL-0068,bond,corporate,corporate,corporate_bond,subordinated,False,technology,BB,USD,25794924.61,0.0,8.45,0.0713,fixed,False,
EXP-0163,OBL-0068,loan,corporate,corporate,revolving,senior_unsecured,False,technology,BB,USD,5560100.39,3318723.4,1.17,0.0694,floating,False,
EXP-0164,OBL-0068,loan,corporate,corporate,term_loan,senior_secured,True,technology,BB,USD,12439418.85,1969086.76,2.62,0.0655,floating,False,receivables
EXP-0165,OBL-0069,bond,fi,insurance,bank_senior_bond,senior_unsecured,False,insurance,A,USD,110000000.0,0.0,5.96,0.0454,fixed,False,
EXP-0166,OBL-0069,bond,fi,insurance,bank_senior_bond,senior_unsecured,False,insurance,A,USD,64222246.65,0.0,2.99,0.047,floating,False,
EXP-0167,OBL-0070,off_balance,corporate,corporate,letter_of_credit,senior_unsecured,False,healthcare,B,USD,3825475.31,882467.77,0.67,0.0613,floating,False,
EXP-0168,OBL-0070,bond,corporate,corporate,corporate_bond,subordinated,False,healthcare,B,USD,22225231.79,0.0,4.59,0.0944,floating,False,
EXP-0169,OBL-0071,loan,corporate,corporate,term_loan,senior_secured,True,healthcare,BBB,USD,23787322.13,2065398.01,6.53,0.0488,floating,True,real_estate
EXP-0170,OBL-0072,bond,sovereign,sovereign,sovereign_bond,senior_unsecured,False,public_sector,AAA,EUR,36264155.31,0.0,5.28,0.0221,fixed,False,
EXP-0171,OBL-0072,bond,sovereign,sovereign,sovereign_bond,senior_unsecured,False,public_sector,AAA,EUR,35209905.43,0.0,7.07,0.0219,fixed,False,
EXP-0172,OBL-0072,bond,sovereign,sovereign,sovereign_bond,senior_unsecured,False,public_sector,AAA,EUR,38937933.6,0.0,6.84,0.0251,fixed,False,
EXP-0173,OBL-0073,bond,corporate,corporate,corporate_bond,senior_unsecured,False,healthcare,AAA,USD,10046827.94,0.0,5.09,0.0414,fixed,False,
EXP-0174,OBL-0073,bond,corporate,corporate,corporate_bond,senior_unsecured,False,healthcare,AAA,USD,9223836.71,0.0,5.03,0.0436,fixed,False,
EXP-0175,OBL-0073,bond,corporate,corporate,corporate_bond,senior_unsecured,False,healthcare,AAA,USD,8321600.33,0.0,7.59,0.044,fixed,False,
EXP-0176,OBL-0073,loan,corporate,corporate,term_loan,senior_secured,True,healthcare,AAA,USD,5524866.98,504872.62,5.34,0.04,floating,False,
